CdStationMesureEauxSurface;LbStationMesureEauxSurface;CdPointEauxSurf;CdSupport;LbSupport;DateDebutOperationPrelBio;CdParametreEnv;LbLongParametre;RsParEnvOpPrelBio;CdUniteMesure;SymUniteMesure;CdRqParEnvPrelBio;MnemoRqParEnvPrelBio;CdMethodeParEnvPrelBio;NomMethodeParEnvPrelBio;RefOperationPrelBio;CdStatutParEnvPrelBio;MnStatutParEnvPrelBio;CdQualParEnvPrelBio;LbQualParEnvPrelBio;DateParEnvPrelBio;CdProducteur;NomProducteur
06000990;SAONE A BELRUPT ;007;13;Macroinvertébrés aquatiques;2019-06-12;7004;Largeur au débit de plein bord;6;111;m;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;626655;1;Donnée brute;1;Correcte;2019-06-12;18690155900069;AGENCE EAU RHONE MEDITERRANEE ET CORSE
06000990;SAONE A BELRUPT ;007;13;Macroinvertébrés aquatiques;2021-08-30;7004;Largeur au débit de plein bord;8;111;m;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;734883;1;Donnée brute;1;Correcte;2021-08-30;18690155900069;AGENCE EAU RHONE MEDITERRANEE ET CORSE
06000990;SAONE A BELRUPT ;007;13;Macroinvertébrés aquatiques;2022-07-13;7004;Largeur au débit de plein bord;6;111;m;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;790605;1;Donnée brute;1;Correcte;2022-07-13;18690155900069;AGENCE EAU RHONE MEDITERRANEE ET CORSE
06000998;SAONE A MONTHUREUX-SUR-SAONE 2;005;13;Macroinvertébrés aquatiques;2019-06-12;7004;Largeur au débit de plein bord;14;111;m;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;626697;1;Donnée brute;1;Correcte;2019-06-12;18690155900069;AGENCE EAU RHONE MEDITERRANEE ET CORSE
06001312;CONEY A URIMENIL 2;002;13;Macroinvertébrés aquatiques;2021-07-11;7004;Largeur au débit de plein bord;2;111;m;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;795487;1;Donnée brute;1;Correcte;2021-07-11;20003436100077;COMMUNAUTE D AGGLOMERATION D EPINAL
06001313;CONEY A URIMENIL 3;002;13;Macroinvertébrés aquatiques;2021-07-11;7004;Largeur au débit de plein bord;2.2;111;m;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;795488;1;Donnée brute;1;Correcte;2021-07-11;20003436100077;COMMUNAUTE D AGGLOMERATION D EPINAL
06001314;CONEY A URIMENIL 4;002;13;Macroinvertébrés aquatiques;2021-07-11;7004;Largeur au débit de plein bord;2.4;111;m;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;795489;1;Donnée brute;1;Correcte;2021-07-11;20003436100077;COMMUNAUTE D AGGLOMERATION D EPINAL
06001316;CONEY A URIMENIL 5;002;13;Macroinvertébrés aquatiques;2021-07-11;7004;Largeur au débit de plein bord;2.5;111;m;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;795490;1;Donnée brute;1;Correcte;2021-07-11;20003436100077;COMMUNAUTE D AGGLOMERATION D EPINAL
06091100;RUISSEAU DE CONE A UZEMAIN;003;13;Macroinvertébrés aquatiques;2019-06-13;7004;Largeur au débit de plein bord;4.2;111;m;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;626768;1;Donnée brute;1;Correcte;2019-06-13;18690155900069;AGENCE EAU RHONE MEDITERRANEE ET CORSE
06408800;AUGRONNE A PLOMBIERES-LES-BAINS ;006;13;Macroinvertébrés aquatiques;2019-06-13;7004;Largeur au débit de plein bord;8;111;m;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;626727;1;Donnée brute;1;Correcte;2019-06-13;18690155900069;AGENCE EAU RHONE MEDITERRANEE ET CORSE
06408800;AUGRONNE A PLOMBIERES-LES-BAINS ;006;13;Macroinvertébrés aquatiques;2020-08-04;7004;Largeur au débit de plein bord;11;111;m;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;739639;1;Donnée brute;1;Correcte;2020-08-04;13000901200019;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT BOURGOGNE-FRANCHE-COMTE (DREAL)
06408800;AUGRONNE A PLOMBIERES-LES-BAINS ;006;13;Macroinvertébrés aquatiques;2021-08-31;7004;Largeur au débit de plein bord;11;111;m;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;735092;1;Donnée brute;1;Correcte;2021-08-31;18690155900069;AGENCE EAU RHONE MEDITERRANEE ET CORSE
06408800;AUGRONNE A PLOMBIERES-LES-BAINS ;006;13;Macroinvertébrés aquatiques;2022-06-10;7004;Largeur au débit de plein bord;9;111;m;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;790803;1;Donnée brute;1;Correcte;2022-06-10;18690155900069;AGENCE EAU RHONE MEDITERRANEE ET CORSE
06455540;SUARCINE A MONTREUX-VIEUX ;003;13;Macroinvertébrés aquatiques;2021-09-02;7004;Largeur au débit de plein bord;9;111;m;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;735155;1;Donnée brute;1;Correcte;2021-09-02;18690155900069;AGENCE EAU RHONE MEDITERRANEE ET CORSE
