CdStationMesureEauxSurface;LbStationMesureEauxSurface;CdPointEauxSurf;CdSupport;LbSupport;CdMethode;NomLongMethodePrel;DateDebutOperationPrelBio;HeureDebutOperationPrelBio;DateFinOperationPrelbio;HeureFinOperationPrelBio;CdProducteur;NomProducteur;CdPreleveur;NomPreleveur;CdDeterminateur;NomDéterminateur;CodeSandreRdd;NomRdd;CdStatutResBioOperationPrelBio;MnemoStatutResBioOperationPrelBio;CdQualResBioOperationPrelBio;LbQualResBioOperationPrelBio;RefOperationPrelBio;ObjOperationPrelBio;LongProspecOperationPrelBio;LargeurMoyLameEauOperationPrelBio;HMoyLamOperationPrelBio;SurfTotProspecteeOperationPrelBio
02001000;L'AUGRABEN À BARTENHEIM;002;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2020-07-07;10:22:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000054;Contrôle de surveillance des cours d'eau du bassin Rhin;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7082963;;;;;
02001000;L'AUGRABEN À BARTENHEIM;002;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2021-08-25;12:05:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000054;Contrôle de surveillance des cours d'eau du bassin Rhin;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7089758;;;;;
02001006;L'ALTE-BACH À BLOTZHEIM (LEHMATTEN);003;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2021-05-26;16:13:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000063;Contrôles opérationnels des cours d'eau du bassin Rhin;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7089759;;;;;
02001016;LE SAURENTZ À WALTENHEIM;010;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2020-07-07;13:48:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000063;Contrôles opérationnels des cours d'eau du bassin Rhin;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7082964;;;;;
02001025;LE RIEDGRABEN À LANDSER;005;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2020-07-07;15:23:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000054;Contrôle de surveillance des cours d'eau du bassin Rhin;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7082965;;;;;
02001025;LE RIEDGRABEN À LANDSER;005;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2021-08-06;10:47:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000054;Contrôle de surveillance des cours d'eau du bassin Rhin;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7089760;;;;;
02001030;LE WEIHERBACHGRABEN À DIETWILLER;011;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2021-08-06;09:05:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000063;Contrôles opérationnels des cours d'eau du bassin Rhin;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7089761;;;;;
02001458;LE MUHLBACH DE DAUBENSAND À OBENHEIM;003;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2020-06-30;16:28:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000063;Contrôles opérationnels des cours d'eau du bassin Rhin;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7082966;;;;;
02001500;LA LACHTER À BOOFZHEIM;007;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2020-06-30;14:57:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000058;Réseau de Suivi et d'Analyse Long Terme des tendances de la qualité des cours d'eau du bassin Rhin-Meuse;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7082967;;;;;
02001500;LA LACHTER À BOOFZHEIM;007;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2021-08-05;12:00:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000058;Réseau de Suivi et d'Analyse Long Terme des tendances de la qualité des cours d'eau du bassin Rhin-Meuse;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7089762;;;;;
