CdStationMesureEauxSurface;LbStationMesureEauxSurface;CdPointEauxSurf;DateDebutOperationPrelBio;CdSupport;LbSupport;DtProdResultatBiologique;HeureResultat;CdParametreResultatBiologique;LbLongParametre;ResIndiceResultatBiologique;CdUniteMesure;SymUniteMesure;CdRqIndiceResultatBiologique;MnemoRqAna;CdMethEval;RefOperationPrelBio;CdProducteur;NomProducteur;CdAccredRsIndiceResultatBiologique;MnAccredRsIndiceResultatBiologique
02001000;L'AUGRABEN À BARTENHEIM;002;2020-07-07;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.3387;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7082963;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02001000;L'AUGRABEN À BARTENHEIM;002;2021-08-25;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.2082;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7089758;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02001006;L'ALTE-BACH À BLOTZHEIM (LEHMATTEN);003;2021-05-26;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.476;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7089759;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02001016;LE SAURENTZ À WALTENHEIM;010;2020-07-07;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.1027;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7082964;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02001025;LE RIEDGRABEN À LANDSER;005;2020-07-07;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.053;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7082965;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02001025;LE RIEDGRABEN À LANDSER;005;2021-08-06;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.1127;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7089760;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02001030;LE WEIHERBACHGRABEN À DIETWILLER;011;2021-08-06;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.0454;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7089761;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02001458;LE MUHLBACH DE DAUBENSAND À OBENHEIM;003;2020-06-30;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.5835;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7082966;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02001500;LA LACHTER À BOOFZHEIM;007;2020-06-30;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.4227;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7082967;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02001500;LA LACHTER À BOOFZHEIM;007;2021-08-05;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.3451;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7089762;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02001725;L'ISCHERT À SUNDHOUSE;002;2020-06-30;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.801;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7082968;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02001738;LE MÜHLBACH DE GERSTHEIM (= LACHTER) À GERSTHEIM;003;2021-09-01;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.3319;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7089764;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02001750;L'ILL À OLTINGUE;002;2020-07-08;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.5198;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7082969;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02001750;L'ILL À OLTINGUE;002;2021-08-25;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.5148;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7089765;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02001945;LE HIRTZBACH À HIRSINGUE;003;2020-07-08;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.9384;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7082970;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02001990;LE DORFBAECHLE À CARSPACH (HOEFFELMATT);004;2020-07-09;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.7514;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7082971;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02002000;L'ILL À CARSPACH;013;2020-07-09;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.7255;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7082972;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
