CdStationMesureEauxSurface;LbStationMesureEauxSurface;DurStationMesureEauxSurface;CoordXStationMesureEauxSurface;CoordYStationMesureEauxSurface;CdProjStationMesureEauxSurface;LibelleProjection;CodeCommune;LbCommune;CodeDepartement;LbDepartement;CodeRegion;LbRegion;CdMasseDEau;CdEuMasseDEau;NomMasseDEau;CdEuSsBassinDCEAdmin;NomSsBassinDCEAdmin;CdBassinDCE;CdEuBassinDCE;NomEuBassinDCE;CdTronconHydrographique;CdCoursdEau;NomCoursdEau;CodeTypEthStationMesureEauxSurface;LibelleTypEthStationMesureEauxSurface;ComStationMesureEauxSurface;DateCreationStationMesureEauxSurface;DateArretActiviteStationMesureEauxSurface;DateMAJInfosStationMesureEauxSurface;FinaliteStationMesureEauxSurface;LocPreciseStationMesureEauxSurface;CodeNatureStationMesureEauxSurface;LibelleNatureStationMesureEauxSurface;AltitudePointCaracteritisque;PkPointTronconEntiteHydroPrincipale;PremierMoisAnneeEtiage;SuperficieBassinVersantReel;SuperficieBassinVersantTopo
02001000;L'AUGRABEN À BARTENHEIM;;1038791;6736177;26;RGF93 / Lambert 93;68021;Bartenheim;68;Haut-Rhin;44;Grand Est;CR26;;;;;;;;A0230200;A02-0200;;2;Station qualité située sur un cours d'eau;Station sélectionnée dans le sous-réseau "RCS pesticides 25%";1971-01-01;;2023-04-04;;L'AUGRABEN À BARTENHEIM;0;Nature de la station inconnue;243;;;;13
02001006;L'ALTE-BACH À BLOTZHEIM (LEHMATTEN);;1036416;6731367;26;RGF93 / Lambert 93;68042;Blotzheim;68;Haut-Rhin;44;Grand Est;CR28;;;;;;;;A0240300;A0240300;;2;Station qualité située sur un cours d'eau;Risque d'assec estival (juillet-août ?);2004-01-01;2027-12-31;2023-09-25;;L'ALTE-BACH À BLOTZHEIM (LEHMATTEN);0;Nature de la station inconnue;281;;;;
02001016;LE SAURENTZ À WALTENHEIM;;1032286;6737746;26;RGF93 / Lambert 93;68357;Waltenheim;68;Haut-Rhin;44;Grand Est;CR29;;;;;;;;A0250300;A0250300;;2;Station qualité située sur un cours d'eau;;2001-05-01;;2022-04-28;;LE SAURENTZ À WALTENHEIM;0;Nature de la station inconnue;274;;;;
02001025;LE RIEDGRABEN À LANDSER;;1028974;6740387;26;RGF93 / Lambert 93;68174;Landser;68;Haut-Rhin;44;Grand Est;CR30;;;;;;;;A0260340;A0260340;;2;Station qualité située sur un cours d'eau;;2001-05-01;;2023-03-14;;LE RIEDGRABEN À LANDSER;0;Nature de la station inconnue;257;;;;
02001030;LE WEIHERBACHGRABEN À DIETWILLER;;1030170;6741973;26;RGF93 / Lambert 93;68072;Dietwiller;68;Haut-Rhin;44;Grand Est;CR30;;;;;;;;A0260300;A0260300;;2;Station qualité située sur un cours d'eau;;1990-12-01;;2021-05-05;;LE WEIHERBACHGRABEN À DIETWILLER;0;Nature de la station inconnue;249;;;;
02001458;LE MUHLBACH DE DAUBENSAND À OBENHEIM;;1048836;6816595;26;RGF93 / Lambert 93;67338;Obenheim;67;Bas-Rhin;44;Grand Est;CR34;;;;;;;;A0520300;A0520300;;2;Station qualité située sur un cours d'eau;;2017-01-01;2026-12-31;2021-11-18;;LE MUHLBACH DE DAUBENSAND À OBENHEIM;0;Nature de la station inconnue;0;;;;
02001500;LA LACHTER À BOOFZHEIM;;1046252;6813302;26;RGF93 / Lambert 93;67055;Boofzheim;67;Bas-Rhin;44;Grand Est;CR35;;;;;;;;A0530310;A0530310;;2;Station qualité située sur un cours d'eau;;1991-01-01;;2023-03-14;;LA LACHTER À BOOFZHEIM;0;Nature de la station inconnue;160;;;;
02001725;L'ISCHERT À SUNDHOUSE;;1044874;6806422;26;RGF93 / Lambert 93;67486;Sundhouse;67;Bas-Rhin;44;Grand Est;CR33;;;;;;;;A0430300;A0430300;;2;Station qualité située sur un cours d'eau;;1997-01-01;;2023-09-25;;L'ISCHERT À SUNDHOUSE;0;Nature de la station inconnue;164;;;;52.5
02001738;LE MÜHLBACH DE GERSTHEIM (= LACHTER) À GERSTHEIM;;1048066;6818543;26;RGF93 / Lambert 93;67154;Gerstheim;67;Bas-Rhin;44;Grand Est;CR35;;;;;;;;A0530310;A0530310;;2;Station qualité située sur un cours d'eau;Risque d'assec estival (juillet-août);2011-01-01;;2023-09-25;;LE MÜHLBACH DE GERSTHEIM (= LACHTER) À GERSTHEIM;0;Nature de la station inconnue;154;;;;
02001750;L'ILL À OLTINGUE;;1030620;6718952;26;RGF93 / Lambert 93;68248;Oltingue;68;Haut-Rhin;44;Grand Est;CR16;;;;;;;;A1000030;A---0030;;2;Station qualité située sur un cours d'eau;;1991-01-01;;2022-04-05;;L'ILL À OLTINGUE;0;Nature de la station inconnue;403;;;;36.01
02001945;LE HIRTZBACH À HIRSINGUE;;1017309;6727900;26;RGF93 / Lambert 93;68138;Hirsingue;68;Haut-Rhin;44;Grand Est;CR41;;;;;;;;A1040370;A1040370;;2;Station qualité située sur un cours d'eau;;2008-01-01;2026-12-31;2023-01-16;;LE HIRTZBACH À HIRSINGUE;0;Nature de la station inconnue;353;;;;
02001990;LE DORFBAECHLE À CARSPACH (HOEFFELMATT);;1013460;6731474;26;RGF93 / Lambert 93;68062;Carspach;68;Haut-Rhin;44;Grand Est;CR42;;;;;;;;A1040530;A1040530;;2;Station qualité située sur un cours d'eau;;2008-01-01;2020-12-31;2020-03-03;;LE DORFBAECHLE À CARSPACH (HOEFFELMATT);0;Nature de la station inconnue;326;;;;
02002000;L'ILL À CARSPACH;;1016715;6732366;26;RGF93 / Lambert 93;68062;Carspach;68;Haut-Rhin;44;Grand Est;CR17;;;;;;;;A1050030;A---0030;;2;Station qualité située sur un cours d'eau;;1971-01-01;;2022-08-03;;L'ILL À CARSPACH;0;Nature de la station inconnue;293;;;;221.96
02002800;LE ZIPFELGRABEN À ASPACH;;1017944;6734680;26;RGF93 / Lambert 93;68010;Aspach;68;Haut-Rhin;44;Grand Est;CR43;;;;;;;;A1050320;A1050320;;2;Station qualité située sur un cours d'eau;;2009-01-01;;2022-04-05;;LE ZIPFELGRABEN À ASPACH;0;Nature de la station inconnue;295;;;;
