CdStationMesureEauxSurface;LbStationMesureEauxSurface;DurStationMesureEauxSurface;CoordXStationMesureEauxSurface;CoordYStationMesureEauxSurface;CdProjStationMesureEauxSurface;LibelleProjection;CodeCommune;LbCommune;CodeDepartement;LbDepartement;CodeRegion;LbRegion;CdMasseDEau;CdEuMasseDEau;NomMasseDEau;CdEuSsBassinDCEAdmin;NomSsBassinDCEAdmin;CdBassinDCE;CdEuBassinDCE;NomEuBassinDCE;CdTronconHydrographique;CdCoursdEau;NomCoursdEau;CodeTypEthStationMesureEauxSurface;LibelleTypEthStationMesureEauxSurface;ComStationMesureEauxSurface;DateCreationStationMesureEauxSurface;DateArretActiviteStationMesureEauxSurface;DateMAJInfosStationMesureEauxSurface;FinaliteStationMesureEauxSurface;LocPreciseStationMesureEauxSurface;CodeNatureStationMesureEauxSurface;LibelleNatureStationMesureEauxSurface;AltitudePointCaracteritisque;PkPointTronconEntiteHydroPrincipale;PremierMoisAnneeEtiage;SuperficieBassinVersantReel;SuperficieBassinVersantTopo
02035750;LE BRAS D'ALTORF À DUPPIGHEIM;;1038982;6835396;26;RGF93 / Lambert 93;67108;Duppigheim;67;Bas-Rhin;44;Grand Est;CR147;;;;;;;;A2850752;A2850752;;2;Station qualité située sur un cours d'eau;;2002-01-01;2022-12-31;2020-04-08;;LE BRAS D'ALTORF À DUPPIGHEIM;0;Nature de la station inconnue;158;;;;
02054550;L'AVIERE À FRIZON;;949766;6802731;26;RGF93 / Lambert 93;88190;Frizon;88;Vosges;44;Grand Est;CR242;;;;;;;;A4620200;A46-0200;;2;Station qualité située sur un cours d'eau;;1992-01-01;;2023-01-06;;L'AVIERE À FRIZON;0;Nature de la station inconnue;304;;;;93.92
02098800;L'EICHEL À OERMINGEN;;1002076;6885722;26;RGF93 / Lambert 93;67355;Oermingen;67;Bas-Rhin;44;Grand Est;CR438;;;;;;;;A9260200;A92-0200;;2;Station qualité située sur un cours d'eau;;1991-01-01;;2023-06-28;;L'EICHEL À OERMINGEN;0;Nature de la station inconnue;215;;;;276.79
02001795;LE GERSBACH À STEINSOULTZ;;1026159;6725771;26;RGF93 / Lambert 93;68325;Steinsoultz;68;Haut-Rhin;44;Grand Est;CR38;;;;;;;;A1020790;A1020790;;2;Station qualité située sur un cours d'eau;;2009-01-01;2027-12-31;2023-08-23;;LE GERSBACH À STEINSOULTZ;0;Nature de la station inconnue;366;;;;
02000003;LE RUISSEAU DE NEUWILLER À NEUWILLER;;1040118;6724237;26;RGF93 / Lambert 93;68232;Neuwiller;68;Haut-Rhin;44;Grand Est;CR27;;;;;;;;A0200300;A0200300;;2;Station qualité située sur un cours d'eau;;2009-01-01;2026-12-31;2023-08-23;;LE RUISSEAU DE NEUWILLER À NEUWILLER;0;Nature de la station inconnue;331;;;;
02000008;LA BIRSIG À LEYMEN (FERME WEISSKIRCH);;1039055;6721258;26;RGF93 / Lambert 93;68182;Leymen;68;Haut-Rhin;44;Grand Est;CR24;;;;;;;;A0100200;A01-0200;;2;Station qualité située sur un cours d'eau;;2015-01-01;2020-12-31;2018-10-11;;LA BIRSIG À LEYMEN (FERME WEISSKIRCH);0;Nature de la station inconnue;0;;;;
02000010;LE GRAND CANAL D'ALSACE À ROSENAU;;1039381;6737723;26;RGF93 / Lambert 93;68286;Rosenau;68;Haut-Rhin;44;Grand Est;CR5;;;;;;;;A0210012;A---0012;;2;Station qualité située sur un cours d'eau;ME F_A---0000G18i100\nAnciennement LE RHIN A KEMBS\nModif JMB 05/10/2006;1953-01-01;;2019-03-19;;LE GRAND CANAL D'ALSACE À ROSENAU;0;Nature de la station inconnue;246;;;;5.2
02000011;LE VIEUX RHIN À KEMBS;;1039269;6738650;26;RGF93 / Lambert 93;68163;Kembs;68;Haut-Rhin;44;Grand Est;CR1;;;;;;;;A0210000;A---0000;;2;Station qualité située sur un cours d'eau;;1987-01-01;;2022-01-24;Contrôle de surveillance DCE;LE VIEUX RHIN À KEMBS;0;Nature de la station inconnue;232;;;;
02000990;LE LERTZBACH À HEGENHEIM;;1040367;6728003;26;RGF93 / Lambert 93;68126;Hégenheim;68;Haut-Rhin;44;Grand Est;CR25;;;;;;;;A0220200;A02-0200;;2;Station qualité située sur un cours d'eau;;1990-12-01;;2021-11-08;;LE LERTZBACH À HEGENHEIM;0;Nature de la station inconnue;278;;;;
02001000;L'AUGRABEN À BARTENHEIM;;1038791;6736177;26;RGF93 / Lambert 93;68021;Bartenheim;68;Haut-Rhin;44;Grand Est;CR26;;;;;;;;A0230200;A02-0200;;2;Station qualité située sur un cours d'eau;Station sélectionnée dans le sous-réseau "RCS pesticides 25%";1971-01-01;;2023-04-04;;L'AUGRABEN À BARTENHEIM;0;Nature de la station inconnue;243;;;;13
02001010;L'ALTE-BACH À BLOTZHEIM;;1037550;6732227;26;RGF93 / Lambert 93;68042;Blotzheim;68;Haut-Rhin;44;Grand Est;CR28;;;;;;;;A0240300;A0240300;;2;Station qualité située sur un cours d'eau;;1990-12-01;;2018-10-11;;L'ALTE-BACH À BLOTZHEIM;0;Nature de la station inconnue;270;;;;
02001016;LE SAURENTZ À WALTENHEIM;;1032286;6737746;26;RGF93 / Lambert 93;68357;Waltenheim;68;Haut-Rhin;44;Grand Est;CR29;;;;;;;;A0250300;A0250300;;2;Station qualité située sur un cours d'eau;;2001-05-01;;2022-04-28;;LE SAURENTZ À WALTENHEIM;0;Nature de la station inconnue;274;;;;
02001025;LE RIEDGRABEN À LANDSER;;1028974;6740387;26;RGF93 / Lambert 93;68174;Landser;68;Haut-Rhin;44;Grand Est;CR30;;;;;;;;A0260340;A0260340;;2;Station qualité située sur un cours d'eau;;2001-05-01;;2023-03-14;;LE RIEDGRABEN À LANDSER;0;Nature de la station inconnue;257;;;;
